mean_q,mean_r,mean_s,mean_p,mean_t,stdev_q,stdev_r,stdev_s,mean_rr_interval,mean_rq_amplitude,mean_qrs_interval,mean_qs_distance,mean_qt_distance,mean_qrs_offset,mean_qrs_onset,person
-0.7582713733834534,0.4248804458165876,-0.11515577512765335,0.4248804458165876,0.4248804458165876,0.0,0.0,0.0,,1.183151819200041,48.0,35.0,12.0,-0.10652455427166968,0.14120378961513874,tr13-0638
-0.4698863146775537,0.3884826250777976,-0.34500083798130865,0.3884826250777976,0.3911624983385724,0.2636949986431357,0.03826519441525925,0.19968558377960746,511.6666666666666,0.8583689397553512,107.5,94.5,41.5,-0.30742017359021584,-0.266695978506993,tr13-0638
-0.7067300208098776,0.4655903759714593,-0.09116538877026474,0.4655903759714593,0.4655903759714593,0.05893482705219277,0.08928797380054768,0.014919352815289803,1165.0,1.1723203967813367,86.0,73.0,12.0,-0.0908373988485434,0.2385606788219216,tr13-0638
-0.737378236911159,0.4453465446856901,-0.13393050851815705,0.4453465446856901,0.4453465446856901,0.013976997001828141,0.0024475670123257627,0.0023945581117880976,1205.0,1.1827247815968491,48.0,33.0,12.0,-0.11952179216502296,0.18128091065378327,tr13-0638
-0.6974794575645155,0.4428794515250169,-0.13618427395712526,0.4428794515250169,0.4428794515250169,0.0,0.0,0.0,,1.1403589090895323,49.0,35.0,12.0,-0.114809537584392,0.2092740939149128,tr13-0638
-0.7846248612969711,0.3904041682135223,-0.10875149748337656,0.3904041682135223,0.3904041682135223,0.001610992645223186,0.01966144864713401,0.008485594232061265,1140.0,1.1750290295104937,49.0,36.0,13.0,-0.08926865755022385,0.20809166801577011,tr13-0638
-0.7245763763745512,0.4504338512867239,-0.14339547001819053,0.4504338512867239,0.4504338512867239,0.003120063011289309,0.011567863892374769,0.014529390258044313,1220.0,1.175010227661275,50.0,36.5,12.5,-0.1314602794664452,0.18330117934067786,tr13-0638
-0.7758052611123528,0.3495274087407758,-0.09911393429074608,0.3495274087407758,0.3495274087407758,0.0,0.0,0.0,,1.1253326698531287,51.0,38.0,12.0,-0.07208288518396737,0.1496318099038835,tr13-0638
-0.7434875080677529,0.4383171378109692,-0.13624991515927515,0.4383171378109692,0.4383171378109692,0.012480790921908735,0.015904068420112633,0.009850994671460405,1215.0,1.181804645878722,48.5,35.5,12.0,-0.11447043194543767,0.16211606796732358,tr13-0638
-0.7495921117753843,0.4020657260469767,-0.12214295601672455,0.4020657260469767,0.4020657260469767,0.041394670253922516,0.029651511360418294,0.01153267431639282,1165.0,1.1516578378223608,48.0,35.0,12.0,-0.09926830506040156,0.1776293231510067,tr13-0638
