,f1-score,precision,recall,support
te03-0024,0.6923076923076923,0.6923076923076923,0.6923076923076923,26.0
te03-0031,0.8421052631578947,0.8571428571428571,0.8275862068965517,29.0
te03-0032,0.5957446808510638,0.4827586206896552,0.7777777777777778,18.0
te03-0037,0.8181818181818182,0.75,0.9,20.0
te03-0041,0.7142857142857143,0.625,0.8333333333333334,18.0
te03-0046,0.723404255319149,0.7391304347826086,0.7083333333333334,24.0
te03-0048,0.4,0.6,0.3,20.0
te03-0050,0.9,1.0,0.8181818181818182,22.0
te03-0054,0.6666666666666666,0.7,0.6363636363636364,22.0
te03-0062,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.0
te03-0076,0.7076923076923077,0.7666666666666667,0.6571428571428571,35.0
te03-0080,0.6808510638297872,0.6666666666666666,0.6956521739130435,23.0
te03-0088,0.8627450980392156,0.8148148148148148,0.9166666666666666,24.0
te03-0091,0.6153846153846153,0.5925925925925926,0.64,25.0
te03-0104,0.7777777777777779,0.8076923076923077,0.75,28.0
te03-0106,0.7346938775510204,0.6206896551724138,0.9,20.0
te03-0112,0.48275862068965514,0.7777777777777778,0.35,20.0
te03-0125,0.358974358974359,0.4375,0.30434782608695654,23.0
te03-0132,0.6511627906976745,0.9333333333333333,0.5,28.0
te03-0137,0.7428571428571428,0.7647058823529411,0.7222222222222222,18.0
te03-0145,0.5641025641025642,0.6875,0.4782608695652174,23.0
te03-0162,0.9090909090909091,0.8620689655172413,0.9615384615384616,26.0
te03-0193,0.830188679245283,0.8461538461538461,0.8148148148148148,27.0
te03-0195,0.8947368421052632,0.8095238095238095,1.0,17.0
te03-0211,0.7843137254901961,0.6451612903225806,1.0,20.0
te03-0213,0.5909090909090909,0.48148148148148145,0.7647058823529411,17.0
te03-0221,0.6511627906976745,0.56,0.7777777777777778,18.0
te03-0225,0.9310344827586207,0.9310344827586207,0.9310344827586207,29.0
te03-0230,0.923076923076923,0.8571428571428571,1.0,24.0
te03-0231,0.5333333333333333,0.5714285714285714,0.5,16.0
te03-0240,0.7804878048780487,0.6666666666666666,0.9411764705882353,17.0
te03-0276,0.9199999999999999,0.8846153846153846,0.9583333333333334,24.0
te03-0284,0.8837209302325583,0.8260869565217391,0.95,20.0
te03-0286,0.5079365079365079,0.4444444444444444,0.5925925925925926,27.0
te03-0293,0.8095238095238095,0.7727272727272727,0.85,20.0
te03-0313,0.4761904761904762,0.5882352941176471,0.4,25.0
te03-0317,0.4736842105263157,0.8181818181818182,0.3333333333333333,27.0
te03-0319,0.9090909090909091,0.8333333333333334,1.0,25.0
te03-0324,0.9491525423728813,0.9032258064516129,1.0,28.0
te03-0335,0.6530612244897959,0.6956521739130435,0.6153846153846154,26.0
te03-0368,0.7096774193548386,0.7333333333333333,0.6875,16.0
te03-0371,0.6923076923076923,0.6666666666666666,0.72,25.0
te03-0383,0.5,0.625,0.4166666666666667,24.0
te03-0407,0.7428571428571428,0.7222222222222222,0.7647058823529411,17.0
te03-0416,0.7719298245614036,0.88,0.6875,32.0
te03-0422,0.6341463414634148,0.5909090909090909,0.6842105263157895,19.0
te03-0436,0.9836065573770492,0.967741935483871,1.0,30.0
te03-0440,0.8148148148148149,0.7096774193548387,0.9565217391304348,23.0
te03-0441,0.5714285714285715,0.5217391304347826,0.631578947368421,19.0
te03-0445,0.42857142857142855,0.6,0.3333333333333333,18.0
te03-0460,0.7659574468085107,0.72,0.8181818181818182,22.0
te03-0466,0.7441860465116279,0.6956521739130435,0.8,20.0
te03-0475,0.7058823529411765,0.72,0.6923076923076923,26.0
te03-0478,0.7804878048780488,0.7619047619047619,0.8,20.0
te03-0480,0.68,0.6296296296296297,0.7391304347826086,23.0
te03-0491,0.9180327868852458,0.875,0.9655172413793104,29.0
te03-0492,0.6808510638297872,0.64,0.7272727272727273,22.0
te03-0496,0.8571428571428572,0.7894736842105263,0.9375,16.0
te03-0499,0.631578947368421,0.631578947368421,0.631578947368421,19.0
te03-0505,0.7272727272727274,0.9230769230769231,0.6,20.0
te03-0513,0.8235294117647058,0.8076923076923077,0.84,25.0
te03-0524,0.5,0.4230769230769231,0.6111111111111112,18.0
te03-0525,0.46153846153846156,0.75,0.3333333333333333,27.0
te03-0552,0.6511627906976744,0.6666666666666666,0.6363636363636364,22.0
te03-0557,0.8679245283018867,0.8214285714285714,0.92,25.0
te03-0577,0.4545454545454545,0.43478260869565216,0.47619047619047616,21.0
te03-0586,0.7924528301886792,0.8076923076923077,0.7777777777777778,27.0
te03-0593,0.6060606060606061,0.5882352941176471,0.625,16.0
te03-0603,1.0,1.0,1.0,20.0
te03-0604,0.9,0.8709677419354839,0.9310344827586207,29.0
te03-0608,0.7272727272727274,0.5882352941176471,0.9523809523809523,21.0
te03-0611,0.6666666666666666,0.6666666666666666,0.6666666666666666,21.0
te03-0616,0.8518518518518519,0.7419354838709677,1.0,23.0
te03-0620,0.6222222222222222,0.5833333333333334,0.6666666666666666,21.0
te03-0621,0.8444444444444443,0.7307692307692307,1.0,19.0
te03-0632,0.5,0.5,0.5,18.0
te03-0660,0.6046511627906976,0.5,0.7647058823529411,17.0
te03-0676,0.7000000000000001,0.5833333333333334,0.875,24.0
te03-0704,0.9411764705882353,0.96,0.9230769230769231,26.0
te03-0717,0.8076923076923077,0.875,0.75,28.0
te03-0730,0.7346938775510204,0.75,0.72,25.0
te03-0747,0.5454545454545454,0.6,0.5,18.0
te03-0750,0.7636363636363634,0.9130434782608695,0.65625,32.0
te03-0776,0.27586206896551724,0.36363636363636365,0.2222222222222222,18.0
te03-0782,0.9795918367346939,1.0,0.96,25.0
te03-0798,0.7741935483870968,0.7741935483870968,0.7741935483870968,31.0
te03-0800,0.7868852459016393,0.7741935483870968,0.8,30.0
te03-0805,0.6511627906976745,0.7368421052631579,0.5833333333333334,24.0
te03-0811,0.6785714285714285,0.76,0.6129032258064516,31.0
te03-0819,0.3939393939393939,0.30952380952380953,0.5416666666666666,24.0
te03-0827,0.6984126984126985,0.55,0.9565217391304348,23.0
te03-0839,0.7037037037037038,0.6785714285714286,0.7307692307692307,26.0
te03-0848,0.7999999999999999,0.7407407407407407,0.8695652173913043,23.0
te03-0856,0.8444444444444444,0.9047619047619048,0.7916666666666666,24.0
te03-0858,0.6923076923076923,0.6923076923076923,0.6923076923076923,26.0
te03-0864,0.7368421052631577,0.7,0.7777777777777778,27.0
te03-0880,0.8148148148148148,0.7586206896551724,0.88,25.0
te03-0889,0.9130434782608695,0.9545454545454546,0.875,24.0
te03-0892,0.8064516129032258,0.6756756756756757,1.0,25.0
te03-0910,0.8461538461538461,0.8148148148148148,0.88,25.0
te03-0927,0.76,0.6785714285714286,0.8636363636363636,22.0
te03-0936,0.7407407407407407,0.8695652173913043,0.6451612903225806,31.0
te03-0944,0.9019607843137256,0.8846153846153846,0.92,25.0
te03-0948,0.5,0.5882352941176471,0.43478260869565216,23.0
te03-0950,0.8235294117647058,0.7368421052631579,0.9333333333333333,15.0
te03-0954,0.55,0.55,0.55,20.0
te03-0960,0.7777777777777777,0.7241379310344828,0.84,25.0
te03-0975,0.6818181818181818,0.6818181818181818,0.6818181818181818,22.0
te03-0978,0.5714285714285715,0.6666666666666666,0.5,24.0
te03-0980,0.7142857142857143,0.5769230769230769,0.9375,16.0
te03-1007,0.6785714285714285,0.7307692307692307,0.6333333333333333,30.0
te03-1009,0.9565217391304348,0.9166666666666666,1.0,22.0
te03-1016,0.8387096774193549,0.8387096774193549,0.8387096774193549,31.0
te03-1025,0.6666666666666666,0.7391304347826086,0.6071428571428571,28.0
te03-1039,0.6666666666666666,0.68,0.6538461538461539,26.0
te03-1051,0.8636363636363636,0.76,1.0,19.0
te03-1055,0.7741935483870968,0.6857142857142857,0.8888888888888888,27.0
te03-1059,0.9090909090909091,0.8333333333333334,1.0,20.0
te03-1067,0.8292682926829269,0.7727272727272727,0.8947368421052632,19.0
te03-1072,0.7666666666666667,0.6216216216216216,1.0,23.0
te03-1079,0.7619047619047619,0.6486486486486487,0.9230769230769231,26.0
te03-1086,0.8064516129032258,0.6756756756756757,1.0,25.0
te03-1093,0.6060606060606061,0.9090909090909091,0.45454545454545453,22.0
te03-1098,0.21428571428571427,0.3,0.16666666666666666,18.0
te03-1104,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.0
te03-1105,0.6578947368421052,0.5,0.9615384615384616,26.0
te03-1109,0.92,0.8518518518518519,1.0,23.0
te03-1110,0.4848484848484849,0.6666666666666666,0.38095238095238093,21.0
te03-1117,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
te03-1118,0.5882352941176471,0.5555555555555556,0.625,24.0
te03-1133,0.9777777777777777,0.9565217391304348,1.0,22.0
te03-1156,0.8727272727272727,0.7741935483870968,1.0,24.0
te03-1178,0.5142857142857143,0.6,0.45,20.0
te03-1213,0.6938775510204082,0.5862068965517241,0.85,20.0
te03-1216,0.2,0.3333333333333333,0.14285714285714285,21.0
te03-1230,0.8400000000000001,0.875,0.8076923076923077,26.0
te03-1291,0.6349206349206349,0.5882352941176471,0.6896551724137931,29.0
te03-1308,0.7407407407407406,0.625,0.9090909090909091,22.0
te03-1318,0.7307692307692307,0.6333333333333333,0.8636363636363636,22.0
te03-1320,0.6666666666666666,0.8,0.5714285714285714,28.0
te03-1325,0.8813559322033898,0.7878787878787878,1.0,26.0
te03-1330,0.7666666666666666,0.6388888888888888,0.9583333333333334,24.0
te03-1334,0.9818181818181818,0.9642857142857143,1.0,27.0
te03-1342,0.9166666666666667,0.9705882352941176,0.868421052631579,38.0
te03-1347,0.9090909090909091,0.8333333333333334,1.0,15.0
te03-1348,0.875,0.875,0.875,24.0
te03-1364,0.6666666666666666,0.7,0.6363636363636364,22.0
te03-1365,0.9130434782608695,0.875,0.9545454545454546,22.0
te03-1372,0.742857142857143,0.8125,0.6842105263157895,19.0
te03-1377,0.4727272727272727,0.4482758620689655,0.5,26.0
te03-1380,0.5517241379310344,0.48484848484848486,0.64,25.0
te03-1398,0.8333333333333334,0.7575757575757576,0.9259259259259259,27.0
te03-1400,0.07692307692307693,0.14285714285714285,0.05263157894736842,19.0
te04-0012,0.4375,0.7,0.3181818181818182,22.0
te04-0037,0.7419354838709676,0.6388888888888888,0.8846153846153846,26.0
te04-0071,0.64,0.6666666666666666,0.6153846153846154,13.0
te04-0080,0.7659574468085107,0.75,0.782608695652174,23.0
te04-0092,0.56,0.4375,0.7777777777777778,18.0
te04-0101,0.5217391304347826,0.5217391304347826,0.5217391304347826,23.0
te04-0102,0.7058823529411764,0.8571428571428571,0.6,30.0
te04-0103,0.8461538461538461,0.7586206896551724,0.9565217391304348,23.0
te04-0107,0.7346938775510203,0.6666666666666666,0.8181818181818182,22.0
te04-0125,0.625,0.8333333333333334,0.5,20.0
te04-0130,0.8115942028985507,0.8235294117647058,0.8,35.0
te04-0141,1.0,1.0,1.0,29.0
te04-0149,0.7931034482758621,0.8518518518518519,0.7419354838709677,31.0
te04-0153,0.7741935483870968,0.7058823529411765,0.8571428571428571,28.0
te04-0154,0.8444444444444444,0.7916666666666666,0.9047619047619048,21.0
te04-0172,0.8727272727272727,0.8571428571428571,0.8888888888888888,27.0
te04-0203,0.5238095238095238,0.5238095238095238,0.5238095238095238,21.0
te04-0215,0.9836065573770492,0.967741935483871,1.0,30.0
te04-0234,0.3333333333333333,0.28125,0.4090909090909091,22.0
te04-0235,0.888888888888889,0.8,1.0,20.0
te04-0241,0.5660377358490566,0.45454545454545453,0.75,20.0
te04-0253,0.8695652173913043,0.8823529411764706,0.8571428571428571,35.0
te04-0257,0.8727272727272727,0.7741935483870968,1.0,24.0
te04-0268,0.6923076923076923,0.6923076923076923,0.6923076923076923,26.0
te04-0272,0.5333333333333333,0.6666666666666666,0.4444444444444444,27.0
te04-0280,0.7058823529411765,0.782608695652174,0.6428571428571429,28.0
te04-0303,0.8615384615384615,0.8484848484848485,0.875,32.0
te04-0329,0.9199999999999999,0.8846153846153846,0.9583333333333334,24.0
te04-0346,0.4666666666666667,0.875,0.3181818181818182,22.0
te04-0350,0.39999999999999997,0.3125,0.5555555555555556,18.0
te04-0353,0.24,0.6,0.15,20.0
te04-0361,0.9795918367346939,0.96,1.0,24.0
te04-0367,0.5909090909090909,0.8666666666666667,0.4482758620689655,29.0
te04-0373,0.9565217391304348,1.0,0.9166666666666666,24.0
te04-0378,0.7272727272727272,0.8,0.6666666666666666,24.0
te04-0384,0.923076923076923,0.8571428571428571,1.0,30.0
te04-0395,0.25,1.0,0.14285714285714285,28.0
te04-0398,0.7272727272727272,0.6666666666666666,0.8,20.0
te04-0406,0.6875000000000001,0.5238095238095238,1.0,22.0
te04-0416,0.8260869565217391,0.7916666666666666,0.8636363636363636,22.0
te04-0424,0.711864406779661,0.6176470588235294,0.84,25.0
te04-0449,0.5882352941176471,0.9090909090909091,0.43478260869565216,23.0
te04-0467,0.5405405405405405,0.5,0.5882352941176471,17.0
te04-0477,0.7111111111111111,0.6666666666666666,0.7619047619047619,21.0
te04-0479,0.875,0.8076923076923077,0.9545454545454546,22.0
te04-0483,0.8461538461538461,0.7586206896551724,0.9565217391304348,23.0
te04-0487,0.7586206896551724,0.7586206896551724,0.7586206896551724,29.0
te04-0489,0.8363636363636363,0.7931034482758621,0.8846153846153846,26.0
te04-0496,0.7368421052631579,0.6774193548387096,0.8076923076923077,26.0
te04-0497,0.5454545454545455,0.6206896551724138,0.4864864864864865,37.0
te04-0510,0.8571428571428571,0.75,1.0,15.0
te04-0521,0.7142857142857143,0.6896551724137931,0.7407407407407407,27.0
te04-0529,0.5499999999999999,0.6875,0.4583333333333333,24.0
te04-0543,0.6984126984126985,0.5945945945945946,0.8461538461538461,26.0
te04-0564,0.9152542372881356,0.8709677419354839,0.9642857142857143,28.0
te04-0574,0.41025641025641024,0.4444444444444444,0.38095238095238093,21.0
te04-0581,0.5714285714285714,0.75,0.46153846153846156,26.0
te04-0582,0.5666666666666667,0.5151515151515151,0.6296296296296297,27.0
te04-0596,0.9117647058823528,0.9117647058823529,0.9117647058823529,34.0
te04-0602,0.6666666666666666,0.5666666666666667,0.8095238095238095,21.0
te04-0624,0.6341463414634146,0.8125,0.52,25.0
te04-0641,0.6666666666666666,0.5,1.0,16.0
